month,channel,imps
2023-11-01,OO Video,38965512
2023-11-01,Paid Search,25744289
2023-11-01,Partnerships,782110307
2023-11-01,Podcast One Audio,77279227
2023-12-01,HMI Audio,280483857
2023-12-01,HMI Digital Video,13079778
2023-12-01,HMI Display,82630296
2023-12-01,HMI Linear,94306914
2023-12-01,HMI OOH,158330569
2023-12-01,Influencer,0
2023-12-01,MACS App,479294104
2023-12-01,MACS Programmatic,250589156
2023-12-01,MACS Social,337165107
2023-12-01,OO Display,5825263
2023-12-01,OO Linear,321754581
2023-12-01,OO Video,50638814
2023-12-01,Paid Search,54623999
2023-12-01,Partnerships,1003932262
2023-12-01,Podcast One Audio,147733909
2024-01-01,HMI Audio,0
2024-01-01,HMI Digital Video,1
2024-01-01,HMI Display,8131
2024-01-01,HMI Linear,0
2024-01-01,HMI OOH,0
2024-01-01,Influencer,0
2024-01-01,MACS App,453950494
2024-01-01,MACS Programmatic,175423549
2024-01-01,MACS Social,118067415
2024-01-01,OO Display,0
2024-01-01,OO Linear,101817459
2024-01-01,OO Video,3899467
2024-01-01,Paid Search,81897443
2024-01-01,Partnerships,600702759
2024-01-01,Podcast One Audio,85068370
2024-02-01,HMI Audio,118587228
2024-02-01,HMI Digital Video,4983442
2024-02-01,HMI Display,46922909
2024-02-01,HMI Linear,32209580
2024-02-01,HMI OOH,193049345
2024-02-01,Influencer,0
2024-02-01,MACS App,418144286
2024-02-01,MACS Programmatic,603017798
2024-02-01,MACS Social,242706723
2024-02-01,OO Display,0
2024-02-01,OO Linear,414781741
2024-02-01,OO Video,8522273
2024-02-01,Paid Search,68550397
2024-02-01,Partnerships,734015922
2024-02-01,Podcast One Audio,80350803
2024-03-01,HMI Audio,311324300
2024-03-01,HMI Digital Video,8712139
2024-03-01,HMI Display,25986155
2024-03-01,HMI Linear,19172260
2024-03-01,HMI OOH,257392652
2024-03-01,Influencer,14100
2024-03-01,MACS App,287535935
2024-03-01,MACS Programmatic,644813694
2024-03-01,MACS Social,180181046
2024-03-01,OO Display,614764
2024-03-01,OO Linear,313085400
2024-03-01,OO Video,51370196
2024-03-01,Paid Search,49023821
2024-03-01,Partnerships,747724652
2024-03-01,Podcast One Audio,100569218
2024-04-01,HMI Audio,153000271
2024-04-01,HMI Digital Video,5508650
2024-04-01,HMI Display,39067096
2024-04-01,HMI Linear,15049000
2024-04-01,HMI OOH,74059721
2024-04-01,Influencer,890300
2024-04-01,MACS App,108292077
2024-04-01,MACS Programmatic,547214122
2024-04-01,MACS Social,125111145
2024-04-01,OO Display,2926368
2024-04-01,OO Linear,267551806
2024-04-01,OO Video,56801983
2024-04-01,Paid Search,14752643
2024-04-01,Partnerships,484347761
2024-04-01,Podcast One Audio,72318292
2024-05-01,HMI Audio,13462000
2024-05-01,HMI Digital Video,0
2024-05-01,HMI Display,7834787
2024-05-01,HMI Linear,0
2024-05-01,HMI OOH,50944843
2024-05-01,Influencer,0
2024-05-01,MACS App,135841737
2024-05-01,MACS Programmatic,330030873
2024-05-01,MACS Social,100657819
2024-05-01,OO Display,3283439
2024-05-01,OO Linear,177375665
2024-05-01,OO Video,56081901
2024-05-01,Paid Search,9767203
2024-05-01,Partnerships,497643921
2024-05-01,Podcast One Audio,73161585
2024-06-01,HMI Audio,50950657
2024-06-01,HMI Digital Video,5
2024-06-01,HMI Display,65753572
2024-06-01,HMI Linear,10314260
2024-06-01,HMI OOH,69614464
2024-06-01,Influencer,612693
2024-06-01,MACS App,199489893
2024-06-01,MACS Programmatic,188953044
2024-06-01,MACS Social,122041306
2024-06-01,OO Display,707634
2024-06-01,OO Linear,273326977
2024-06-01,OO Video,59977846
2024-06-01,Paid Search,13301609
2024-06-01,Partnerships,717258564
2024-06-01,Podcast One Audio,78695166
2024-07-01,HMI Audio,35981414
2024-07-01,HMI Digital Video,0
2024-07-01,HMI Display,28619770
2024-07-01,HMI Linear,7442920
2024-07-01,HMI OOH,76688477
2024-07-01,Influencer,243028
